user_id,genre,play_count
user_1,Classical,9
user_10,Hip-Hop,5
user_100,Jazz,5
user_11,Hip-Hop,7
user_12,Rock,6
user_13,Rock,7
user_14,Pop,4
user_15,Classical,6
user_16,Pop,6
user_17,Pop,4
user_18,Hip-Hop,10
user_19,Rock,10
user_2,Jazz,6
user_20,Hip-Hop,4
user_21,Rock,9
user_22,Hip-Hop,9
user_23,Pop,10
user_24,Hip-Hop,8
user_25,Rock,8
user_26,Hip-Hop,3
user_27,Hip-Hop,3
user_28,Pop,10
user_29,Jazz,3
user_3,Jazz,5
user_30,Classical,7
user_31,Hip-Hop,5
user_32,Rock,5
user_33,Pop,7
user_34,Pop,5
user_35,Hip-Hop,10
user_36,Hip-Hop,10
user_37,Jazz,6
user_38,Jazz,8
user_39,Classical,13
user_4,Jazz,10
user_40,Hip-Hop,10
user_41,Rock,9
user_42,Rock,14
user_43,Hip-Hop,4
user_44,Pop,7
user_45,Pop,6
user_46,Jazz,9
user_47,Pop,7
user_48,Pop,5
user_49,Jazz,3
user_5,Pop,6
user_50,Pop,5
user_51,Hip-Hop,6
user_52,Classical,7
user_53,Hip-Hop,7
user_54,Rock,6
user_55,Pop,4
user_56,Classical,4
user_57,Classical,7
user_58,Classical,6
user_59,Pop,3
user_6,Jazz,6
user_60,Pop,4
user_61,Pop,11
user_62,Classical,6
user_63,Jazz,7
user_64,Jazz,5
user_65,Rock,10
user_66,Jazz,4
user_67,Classical,13
user_68,Classical,6
user_69,Rock,4
user_7,Jazz,7
user_70,Jazz,8
user_71,Pop,4
user_72,Jazz,13
user_73,Jazz,5
user_74,Pop,8
user_75,Jazz,6
user_76,Classical,4
user_77,Hip-Hop,6
user_78,Jazz,5
user_79,Pop,4
user_8,Jazz,7
user_80,Jazz,4
user_81,Jazz,12
user_82,Pop,2
user_83,Pop,7
user_84,Jazz,4
user_85,Rock,3
user_86,Hip-Hop,5
user_87,Hip-Hop,7
user_88,Hip-Hop,8
user_89,Rock,14
user_9,Classical,5
user_90,Classical,3
user_91,Jazz,8
user_92,Rock,12
user_93,Jazz,9
user_94,Rock,8
user_95,Rock,9
user_96,Classical,6
user_97,Pop,12
user_98,Hip-Hop,7
user_99,Pop,6
