song_id,title,avg_duration_sec,play_count
song_40,Title_song_40,204.81,21
song_26,Title_song_26,201.94,16
song_35,Title_song_35,195.4,25
song_47,Title_song_47,187.25,16
song_41,Title_song_41,185.06,17
song_25,Title_song_25,182.55,20
song_1,Title_song_1,180.89,37
song_3,Title_song_3,179.85,20
song_6,Title_song_6,178.23,31
song_37,Title_song_37,177.08,12
song_24,Title_song_24,174.83,18
song_42,Title_song_42,173.43,23
song_12,Title_song_12,172.82,11
song_50,Title_song_50,172.17,30
song_16,Title_song_16,170.43,14
song_30,Title_song_30,170.27,11
song_38,Title_song_38,170.12,33
song_43,Title_song_43,169.54,24
song_4,Title_song_4,169.42,19
song_10,Title_song_10,168.3,10
song_19,Title_song_19,168.3,30
song_13,Title_song_13,167.58,19
song_49,Title_song_49,166.33,12
song_36,Title_song_36,165.93,27
song_20,Title_song_20,165.05,19
song_5,Title_song_5,164.29,24
song_21,Title_song_21,163.36,25
song_32,Title_song_32,161.26,23
song_39,Title_song_39,160.07,27
song_8,Title_song_8,159.83,18
song_9,Title_song_9,155.5,12
song_27,Title_song_27,155.28,18
song_48,Title_song_48,155.27,11
song_34,Title_song_34,155.04,23
song_22,Title_song_22,154.88,24
song_2,Title_song_2,154.16,25
song_15,Title_song_15,154.07,27
song_31,Title_song_31,153.88,16
song_44,Title_song_44,153.47,15
song_11,Title_song_11,151.81,16
song_17,Title_song_17,151.29,21
song_7,Title_song_7,149.9,20
song_33,Title_song_33,149.67,18
song_45,Title_song_45,145.71,14
song_29,Title_song_29,143.0,20
song_18,Title_song_18,142.2,25
song_28,Title_song_28,141.91,22
song_14,Title_song_14,134.71,7
song_23,Title_song_23,133.17,18
song_46,Title_song_46,132.63,16
